,fi,en,,,NOTES – use \n for newline,max length
perkdesc_no_more_shuffle,Tästä lähtien ei enää laahustavat wands. Wands kannat mukanasi muuttuu ei-shufflers liikaa.,From now on there are no more shuffling wands. The wands you carry with you turn into non-shufflers too.,,,,
perk_vampirism,vampirism,Vampirism,,,,
perkdesc_vampirism,"Sinua takaisin terveydelle juominen verta, mutta menetät kolmasosa maksimi terveyttä. Veri ei vaikuta kylläisyyteen tasolla.","You regain health from drinking blood, but you lose one third of maximum health. Blood doesn't affect satiation level.",,,,
perk_no_wand_editing,Ei Wand puuhastelun,No Wand Tinkering,,,,
perkdesc_no_wand_editing,"Sauvat voida tinkered kanssa, mutta viholliset voi pudota verta rahaa.","Wands cannot be tinkered with, but enemies may drop blood money.",,,,
perk_telekinesis,telekinesiaa Kick,Telekinetic Kick,,,,
perkdesc_telekinesis,Kerää uutta telekenisiaa.,You gain new telekinetic powers.,,,,
perk_projectile_duplicate,monistaa laukausta,Duplicated shots,,,,
perkdesc_projectile_duplicate,Loitsuja päällekkäisiä kuin ne osuvat esteitä.,Your spells duplicate as they hit obstacles.,,,,
perk_low_hp_damage_boost,Elää äärirajalla,Living on the Edge,,,,
perkdesc_low_hp_damage_boost,"Loitsuja käsitellä 3x vaurioita, kun olet alle 25 HP: n tai 25% maksimi terveyttä.",Your spells deal 3x damage when you're under 25 HP or 25% of maximum health.,,,,
perk_faster_levitation,nopeampi Levitaatio,Faster Levitation,,,,
perkdesc_faster_levitation,Te leijumaan 75% nopeammin.,You levitate 75% faster.,,,,
perk_peace_with_steve,Rauhan Gods,Peace with Gods,,,,
perkdesc_peace_with_steve,Teet rauha Gods.,You make peace with your Gods.,,,,
perk_gold_is_forever,Kulta on ikuisesti,Gold Is Forever,,,,
perkdesc_gold_is_forever,Kultahippuja koskaan katoa.,Gold nuggets never disappear.,,,,
perk_wand_experimenter,Wand kokeilija,Wand Experimenter,,,,
perk_trick_blood_money,Trick Blood Money,Trick Blood Money,,,,
perkdesc_trick_blood_money,"Verirahat katkeaa, kun kuolema on onnettomuus.",Blood money is dropped when death is an accident.,,,,
perk_levitation_trail,levitaatio Trail,Levitation Trail,,,,
perkdesc_levitation_trail,"Kun levitating, jätät jälkiä maaginen kipinöissä haittaa kulkee olentoja.","When levitating, you leave a trail of magical sparks that harm passing creatures.",,,,
perkdesc_wand_experimenter,Ampuminen äskettäin löydetty ja muokkaamattoman wands paranee sinulle.,Firing newly found and unmodified wands heals you.,,,,
perk_protection_freeze,Pakastaminen Immunity,Freezing Immunity,,,,
perkdesc_protection_freeze,Et voi pakastaa.,You cannot be frozen.,,,,
item_mcguffin,puuttuvat Key,Missing Key,,,,
itemdesc_mcguffin,"Tämä on sanottu, jotta työt",This has been said to complete the Work,,,,
item_mcguffin_0,Suola,The Salt,,,,
itemdesc_mcguffin_0,"Tämä on sanottu, jotta työt",This has been said to complete the Work,,,,
item_mcguffin_1,meidän Matter,Our Matter,,,,
itemdesc_mcguffin_1,"Tämä on sanottu, jotta työt",This has been said to complete the Work,,,,
item_mcguffin_2,Hermes lintu,Hermes bird,,,,
itemdesc_mcguffin_2,"Tämä on sanottu, jotta työt",This has been said to complete the Work,,,,
item_mcguffin_3,valkoinen Eagle,White Eagle,,,,
itemdesc_mcguffin_3,"Tämä on sanottu, jotta työt",This has been said to complete the Work,,,,
item_mcguffin_4,Vihreän Lion,The Green Lion,,,,
itemdesc_mcguffin_4,"Tämä on sanottu, jotta työt",This has been said to complete the Work,,,,
item_mcguffin_5,red Lion,Red Lion,,,,
itemdesc_mcguffin_5,"Tämä on sanottu, jotta työt",This has been said to complete the Work,,,,
item_mcguffin_6,Celestial Ruby,Celestial Ruby,,,,
itemdesc_mcguffin_6,"Tämä on sanottu, jotta työt",This has been said to complete the Work,,,,
item_mcguffin_7,Magnesia,Magnesia,,,,
itemdesc_mcguffin_7,"Tämä on sanottu, jotta työt",This has been said to complete the Work,,,,
item_mcguffin_8,Aluksen Filosofien,The Vessel of the Philosophers,,,,
itemdesc_mcguffin_8,"Tämä on sanottu, jotta työt",This has been said to complete the Work,,,,
item_mcguffin_9,Siunattu Stone,Our Blessed Stone,,,,
itemdesc_mcguffin_9,"Tämä on sanottu, jotta työt",This has been said to complete the Work,,,,
item_mcguffin_10,pääteos,Magnum Opus,,,,
itemdesc_mcguffin_10,"Tämä on sanottu, jotta työt",This has been said to complete the Work,,,,
item_mcguffin_11,Viisasten kivi,Philosopher's Stone,,,,
itemdesc_mcguffin_11,"Tämä on sanottu, jotta työt",This has been said to complete the Work,,,,
item_mcguffin_12,sampo,Sampo,,,,
itemdesc_mcguffin_12,"Tämä on sanottu, jotta työt",This has been said to complete the Work,,,,
item_mcguffin_13,todellisen tiedon,True Knowledge,,,,
itemdesc_mcguffin_13,Olet valmistunut työ,You have completed the Work,,,,
item_perk_reroll,Perk reroll,Perk reroll,,,,
item_essence_fire,Essence of Fire,Essence of Fire,,,,
itemdesc_essence_fire,Koko olemuksesi on vaihteleva!,Your entire being is fluctuating!,,,,
item_essence_laser,Essence of Earth,Essence of Earth,,,,
itemdesc_essence_laser,Olemuksesi tiedotteet vahingoittamatta valoa!,Your being releases damaging light!,,,,
item_essence_air,Essence Air,Essence of Air,,,,
itemdesc_essence_air,Olemuksesi ohjaa ilmaa ympärilläsi!,Your being controls the air around you!,,,,
item_essence_water,Essence of Water,Essence of Water,,,,
itemdesc_essence_water,Maa virtaa ympärilläsi!,The earth flows around you!,,,,
item_essence_alcohol,Essence of Spirits,Essence of Spirits,,,,
itemdesc_essence_alcohol,Se ei ollut paras ideoiden,That was not the best of ideas,,,,
item_chest_treasure_super,Suuri aarreaitta,Great treasure chest,,,,
item_rock,Rock,Rock,,,,
itemdesc_rock,Se on kallio.,It's a rock.,,,,
item_egg_hollow,ontto muna,Hollow egg,,,,
itemdesc_egg_hollow,"Ihmettelen, onko siellä jotain sisällä?",I wonder if there's anything inside?,,,,
item_egg_worm,wiggling muna,Wiggling egg,,,,
item_description_egg_worm,Jotain wiggles sisällä,Something wiggles inside,,,,
item_egg_purple,kolea muna,Chilly egg,,,,
item_description_egg_purple,Muna tuntuu kylmältä,The egg feels cold,,,,
item_egg_fire,paahteinen muna,Toasty egg,,,,
item_description_egg_fire,Muna tuntuu erittäin lämmin,The egg feels very warm,,,,
item_egg_slime,limainen muna,Slimy egg,,,,
item_description_egg_slime,Muna on katettu liman,The egg is covered in slime,,,,
item_flute,Flutist taikasauva,Flutist's wand,,,,
item_weathercrystal_book,Book of Balance,Book of Balance,,,,
itemdesc_weathercrystal_book,"Sanotaan, että saavuttaakseen suuri rikkaus yksi on valmis rikkomaan kivijalka tämän maailman. Kuitenkin jonain tehdä niin, he olla kirottu. Silti omaa ahneus on kirous omasta ...","It is said that to attain great wealth one must be ready to break the very foundation of this world. However, would one do that, they'd be cursed. Yet their own greed is a curse on its own...",,,,
item_chest_dark,tumma rinta,Dark chest,,,,
item_weathercrystal,Kide Balance,Crystal of Balance,,,,
item_goldnugget_10,Kultahippu (10),Gold nugget (10),,,,
item_goldnugget_50,Kultahippu (50),Gold nugget (50),,,,
item_goldnugget_200,Kultahippu (200),Gold nugget (200),,,,
item_goldnugget_1000,Kultahippu (1000),Gold nugget (1000),,,,
item_goldnugget_10000,Golden Idol (10000),Golden Idol (10000),,,,
item_runestone_laser,Runestone valoa,Runestone of light,,,,
item_runestone_fireball,Runestone tulipalon,Runestone of fire,,,,
item_runestone_lava,Runestone magman,Runestone of magma,,,,
item_runestone_disc,Runestone kaarien,Runestone of edges,,,,
item_runestone_null,Runestone tyhjyyden,Runestone of emptiness,,,,
item_runestone_slow,Runestone paino,Runestone of weight,,,,
itemdesc_runestone,RUNESTONE vahva maaginen aura. Sinulla tuntuu potkaisematta.,A runestone with a strong magical aura. You feel like kicking it.,,,,
item_key,kristalliavaimen,Crystal key,,,,
itemdesc_key_0,Tärkeintä on äänettömiä.,The key is voiceless.,,,,
itemdesc_key_1,"Avain hums, mutta jotain puuttuu ...","The key hums, but something is missing...",,,,
itemdesc_key_2,Avain kuiskaa salaisuudet ja lupaukset; se on valmis.,The key whispers secrets and promises; it is ready.,,,,
item_description_potion_usage,\n $0. item - juoma,\n$0 on item - drink,,,,
item_jar,purkki,Jar,,,,
item_description_jar,Varustaa ja spray tai heittää,Equip and spray or throw,,,,
item_jar_with_material,$0 jar,$0 jar,,,,
item_broken_wand,Broken sauva,Broken wand,,,,
item_description_broken_wand,"Tämä sauva on katkesi kahtia, mutta se silti rätisee maagisia energiaa",This wand has snapped in half but it still crackles with magical energy,,,,
item_thunderstone,Ukkoskivi,Ukkoskivi,,,,
item_description_thunderstone,Tämä pieni kallio tekee sinusta tuntuu hyvin ladattu.,This small rock makes you feel very charged.,,,,
item_brimstone,Kiuaskivi,Kiuaskivi,,,,
item_description_brimstone,"Tämä pieni kallio näyttää parhaimmalta tulinen, mutta kun kosketti vain miellyttävää lämpöä voi tuntua.","This tiny rock looks most fiery, but when touched only a pleasant warmth can be felt.",,,,
item_moon,Kuu,Kuu,,,,
item_description_moon,Tämä pieni taivaalliset esine on vahva vetovoima.,This tiny celestial object has a strong gravitational pull.,,,,
item_waterstone,Vuoksikivi,Vuoksikivi,,,,
item_description_waterstone,"Tämä pieni kallio on kova ja kiinteä, mutta silti näyttää ylitsepursuava vedellä.","This small rock is hard and solid, yet seems to be gushing with water.",,,,
item_bloodmoney,Verinen kultahippu,Bloody gold nugget,,,,
item_bloodmoney_10,Verinen kultahippu (10),Bloody gold nugget (10),,,,
item_bloodmoney_50,Verinen kultahippu (50),Bloody gold nugget (50),,,,
item_bloodmoney_200,Verinen kultahippu (200),Bloody gold nugget (200),,,,
item_bloodmoney_1000,Verinen kultahippu (1000),Bloody gold nugget (1000),,,,
item_bloodmoney_10000,Verinen Golden Idol (10000),Bloody golden Idol (10000),,,,
item_die_roll,Arpa on liikkuva ...,The die is rolling...,,,,
item_die_1,Muotin rullattu 1!,The die rolled a 1!,,,,
item_die_2,Muotin rullattu 2!,The die rolled a 2!,,,,
item_die_3,Suulakkeen rullattu 3!,The die rolled a 3!,,,,
item_die_4,Suulakkeen rullattu 4!,The die rolled a 4!,,,,
item_die_5,Suulakkeen rullattu 5!,The die rolled a 5!,,,,
item_die_6,Muotin rullattu 6!,The die rolled a 6!,,,,
item_die_bad,Olet erittäin epäonninen ...!,You're extremely unlucky...!,,,,
item_die_good,Olet erittäin onnekas!,You're extremely lucky!,,,,
item_die,Chaos die,Chaos die,,,,
itemdesc_die,Roll se eri palkintoja!,Roll it for various prizes!,,,,
itempickup_open,Paina $0 avaamaan '$1',Press $0 to open '$1',,,,
itempickup_orb,Löysitte orb todellisen tiedon,You discovered an orb of true Knowledge,,,,
itempickup_orb_evil,Löysitte orb vioittunut Knowledge,You discovered an orb of corrupted Knowledge,,,,
itempickup_orb_discovered,Löysit tuttu taivaankappale todellisen tiedon,You found a familiar orb of true Knowledge,,,,
itempickupdesc_orb_discovered,Olet palkitaan ylimääräisiä terveys,You're rewarded with additional health,,,,
itempickupdesc_orb_00,Salaisuudet loputon lava on lukittu teille.,Secrets of endless lava have been unlocked to you.,,,,
itempickupdesc_orb_01,Salaisuudet Maan vihaa on auki sinulle.,Secrets of Earth's anger have been unlocked to you.,,,,
itempickupdesc_orb_02,Salaisuudet mystisiltä elämän on auki sinulle.,Secrets of otherworldly life have been unlocked to you.,,,,
itempickupdesc_orb_03,Salaisuudet täydellisen tuhon on auki sinulle.,Secrets of utter destruction have been unlocked to you.,,,,
itempickupdesc_orb_04,Salaisuudet Undeath on auki sinulle.,Secrets of Undeath have been unlocked to you.,,,,
itempickupdesc_orb_05,Salaisuudet tulta ja tulikiveä on auki sinulle.,Secrets of fire and brimstone have been unlocked to you.,,,,
itempickupdesc_orb_06,Salaisuudet Spiral on auki sinulle.,Secrets of the Spiral have been unlocked to you.,,,,
itempickupdesc_orb_07,Salaisuudet myrskyinen taivas on auki sinulle.,Secrets of stormy skies have been unlocked to you.,,,,
itempickupdesc_orb_08,Salaisuudet jubilation on auki sinulle.,Secrets of jubilation have been unlocked to you.,,,,
itempickupdesc_orb_09,Salaisuudet piilossa vaara on auki sinulle.,Secrets of hidden danger have been unlocked to you.,,,,
itempickupdesc_orb_10,Salaisuudet uudelleenrakentaminen on auki sinulle.,Secrets of rebuilding have been unlocked to you.,,,,
itempickupdesc_orb_11,Tämä salainen ei olisi pitänyt käytettävissä.,This secret should not have been available for you.,,,,
itempickupdesc_orb_13,Salaisuudet suuri eliminointi on auki sinulle.,Secrets of great undoing have been unlocked to you.,,,,
menu_mods,modit,Mods,,,,
menu_mods_availablemods,käytettävissä modit,Available mods,,,,
menu_mods_availablemods_none,Ei modeja asennettu,No mods installed,,,,
menu_mods_enabled,käytössä,Enabled,,,,
menu_mods_moveup,Liiku ylös,Move up,,,,
menu_mods_movedown,siirrä alas,Move down,,,,
menu_mods_help_exp,Tämä on kokeellinen ominaisuus. \nKäytä omalla vastuulla. Aja vain modeja luotettavista lähteistä! \nUpmost käytössä mod ladataan ensin. \nValitse mod nimi ottaa käyttöön / poistaa mod.,This is an experimental feature.\nUse at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.,,,,
menu_mods_help,Käytä modeja omalla vastuulla. Aja vain modeja luotettavista lähteistä! \nUpmost käytössä mod ladataan ensin. \nValitse mod nimi ottaa käyttöön / poistaa mod.,Use mods at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.,,,,
menu_mods_help_paused,Muutokset tulevat voimaan seuraavalla uudelleenkäynnistyksen.,Changes will be applied on next restart.,,,,
menu_mods_openmodfolder,Avoin mod kansio,Open mod folder,,,,
menu_mods_restart,Käynnistyy uudelleen käytössä mod aktiivinen,Restart with enabled mods active,,,,
menu_mods_restart_tooltip,"Varoitus: jotkut modit eivät ehkä käsittele päälle / pois ingame hyvin - weirdness, vikoja tai saattaa kaatua.","Warning: some mods may not handle enabling/disabling ingame well - weirdness, bugs or crashes may occur.",,,,
menu_mods_newgame,Aloita uusi peli käytössä modeja aktiivinen,Start a new game with enabled mods active,,,,
menu_mods_refresh,virkistää,Refresh,,,,
menu_mods_reenablenotificiation,Tämä versio tuo muutoksen modeja käyttäytyä. \nMods täytyy ottaa uudelleen käyttöön kautta ”Mods” valikosta.,This version changes how mods behave.\nMods need to be re-enabled via the “Mods” menu.,,,,
menu_mods_extraprivilegesareyousure,"Tämä modi on pyytänyt ylimääräistä etuoikeuksia. \nJos käytössä, se on täysi pääsy tietokoneelle \neven käyttämättä mahdollista hyödyntää pelin koodin. \nOletko Haluatko varmasti luottaa tähän mod?","This mod has requested extra privileges.\nIf enabled, it has full access to your computer,\neven without using possible exploits in the game code.\nAre you sure you want to trust this mod?",,,,
menu_mods_extraprivilegesnotification,Tämä modi on pyytänyt ylimääräistä etuoikeuksia. \nUnsafe modeja heille on annettava mahdollisuus suorittaa tämän mod.,This mod has requested extra privileges.\nUnsafe mods need to be enabled to run this mod.,,,,
menu_mods_workshopsandboxnotification,"Workshop modit ei voi ottaa käyttöön, kun vaarallisia modit ovat.",Workshop mods cannot be enabled while unsafe mods are on.,,,,
menu_mods_enablinginvalid,"Tämä mod on rikki, ja ei voi ottaa käyttöön [Virhekoodi # N0174H4X].",This mod is broken and cannot be enabled [Error code #N0174H4X].,,,,
menu_mods_sandboxoffareyousure,Mahdollistaen vaarallisia modit antaa kaikille asennetut modit täyden pääsyn tietokoneeseen. \nOletko varma?,Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?,,,,
menu_mods_sandboxoffareyousure_steam,Mahdollistaen vaarallisia modit antaa kaikille asennetut modit täyden pääsyn tietokoneeseen. \nOletko varma?,Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?,,,,
menu_mods_sandboxoption,Turvaton modit: $0,Unsafe mods: $0,,,,
menu_mods_initerrors_title,"Aikana tapahtui virheitä, alustetaan mod:",Errors occurred while initializing mods:,,,,
menu_mods_customactivation,\nPlay tämän mod kautta ”Uusi peli” valikosta.,\nPlay this mod via the “New game” menu.,,,,
menu_mods_translationactivation,\nOta käännöksen kautta ”Kieli” ”Asetukset” -valikosta.,\nEnable this translation via “Language” in the “Options” menu.,,,,
menu_mods_nameconflict,Ei voi ottaa käyttöön useita modeja kanssa id ”$0”.,Cannot enable multiple mods with the id “$0”.,,,,
menu_mods_installmods,Get modit,Get mods,,,,
menu_mods_installmods_steam,Asenna modit käyttäen Workshop,Install mods using Workshop,,,,
menu_mods_workshopdownloading,Lataaminen Workshop sisältöä $0,Downloading Workshop content $0,,,,
menu_mods_workshop_mod_tooltip,Tämä on Steam Workshop mod.,This is a Steam Workshop mod.,,,,
menu_mods_disclaimernotification_exp,Tämä on kokeellinen ominaisuus. \nKäytä on omalla vastuullasi! \nKäytä suorittaa vain modeja luotettavista lähteistä.,This is an experimental feature.\nUse is at your own risk!\nYou should only run mods from trusted sources.,,,,
menu_mods_disclaimernotification,Käyttö modeja on omalla vastuulla! \nKäytä suorittaa vain modeja luotettavista lähteistä.,Use of mods is at your own risk!\nYou should only run mods from trusted sources.,,,,
menu_mods_initerrors_log,Oli virheitä alustettaessa seuraavat mod: $0,There were errors when initializing following mods: $0,,,,
menu_mods_workshopdownloading_noprogress,Lataaminen Workshop sisältöä $0 \nJos lataukset eivät näytä kehittymistään \nOlet ehkä muutettava tärkeysjärjestyksessä Steam kirjastossa lataukset luettelosta.,"Downloading Workshop content $0\nIf the downloads don't seem to progress,\nyou might need to change their priority in the Steam library downloads list.",,,,
menu_mods_modversion_older,Tämä mod ei ole testattu uusimman version Modaus käyttöliittymä.,This mod has not been tested with the latest version of the modding interface.,,,,
menu_mods_modversion_newer,Tämä modi on rakennettu koskaan version Modding käyttöliittymän. \nA koskaan versio pelistä saatetaan tarvita.,This mod has been built with a never version of the modding interface.\nA never version of the game might be required.,,,,
menu_mods_incompatibilities,Modeja (!),Mods (!),,,,
menu_mods_incompatibilities_tooltip,Jotkut modit ovat mahdollisia yhteensopivuusongelmia,Some mods have possible incompatibilities,,,,
option_allowed,sallittu,Allowed,,,,
option_disabled,Liikuntarajoitteinen,Disabled,,,,
menu_newgame_selectgamemode,Valitse pelitila,Select game mode,,,,
menu_quit,Lopettaa,Quit,,,,
menuautosave_text,Autosave löydetty. Näyttää peli kaatui? \nShould peli yrittää palauttaa automaattisen tallennuksen?,Autosave found. Looks like the game crashed?\nShould the game attempt to restore the autosave?,,,,
menuautosave_text_mods,Jotkut modit olivat käytössä ja saattanut aiheuttaa kaatumisen.,Some mods were enabled and might have caused the crash.,,,,
menuautosave_text_earlyaccess,"Noita on jo pääsy, yritämme korjata. : /","Noita is in early access, we'll try to fix this. :/",,,,
menuautosave_yes,Palauttaa,Restore,,,,
menuautosave_no,Ei. Tuhoa se,Nah. Destroy it,,,,
menuoptions_configurecontrols_hint_gamepad,Paina B ohjaus palauta se oletus,Press B on a control to reset it to default,,,,
menuoptions_configurecontrols_hint_keyboard,Oikealla klikkaa avain sitova palauta se oletus,Right click on a key binding to reset it to default,,,,
menuoptions_privacypolicy,Tietosuojakäytäntö,Privacy policy,,,,
menuoptions_showhoverinfonexttomouse,Näytä leijui aine / tuotenimi vieressä hiiri: $0,Show hovered material/item name next to mouse: $0,,,,
menuoptions_replayrecorder_tooltip_exp,Kokeellinen ominaisuus \nPaina $0 säästää uusinnan missään pelin vaiheessa. \n \nSetting ”Replay budjetin” liian suuri saattavat alentua suorituskyvyn \ eikä tehdä pelin kaatumisen. Käytä omalla vastuullasi!,EXPERIMENTAL FEATURE\nPress $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!,,,,
menuoptions_replayrecorder_tooltip,Paina $0 säästää uusinnan missään pelin vaiheessa. \n \nSetting ”Replay budjetin” liian suuri saattavat alentua suorituskyvyn \ eikä tehdä pelin kaatumisen. Käytä omalla vastuullasi!,Press $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!,,,,
menuoptions_application_rendered_cursor_hint,"Ota tämä, jos et näe hiiren kursori.",Turn this on in case you can't see the mouse cursor.,,,,
menuoptions_general,yleinen,General,,,,
menuoptions_graphics,grafiikka,Graphics,,,,
menuoptions_audio,Audio,Audio,,,,
menuoptions_input,panos,Input,,,,
menuoptions_streaming,suoratoisto,Streaming,,,,
menuoptions_teleport_flash_brightness,Teleport salaman kirkkauden,Teleport flash brightness,,,,
menuoptions_gamepaddetected,Peliohjain havaittu! \nOta peliohjaimet kautta sisään -välilehteä.,Gamepad detected!\nEnable gamepads via the Input tab.,,,,
menuoptions_replaybudget,Replay budjetti,Replay budget,,,,
menuoptions_heading_window,IKKUNA,WINDOW,,,,
menuoptions_heading_replayrecorder,REPLAY RECORDER,REPLAY RECORDER,,,,
menuoptions_heading_misc,MUUT,MISCELLANEOUS,,,,
menuoptions_heading_rendering,VARJOSTUS,RENDERING,,,,
menuoptions_heading_userinterface_graphics,KÄYTTÖLIITTYMÄ,USER INTERFACE,,,,
menuoptions_heading_accessibility,AVATTAVUUS,ACCESSIBILITY,,,,
menuoptions_heading_volume,VOLUME,VOLUME,,,,
menuoptions_heading_userinterface_input,KÄYTTÖLIITTYMÄ,USER INTERFACE,,,,
menuoptions_heading_gamepad,GAMEPAD,GAMEPAD,,,,
menuoptions_heading_gameplay,Pelattavuus,GAMEPLAY,,,,
menuoptions_heading_compatibility,YHTEENSOPIVUUS,COMPATIBILITY,,,,
menuoptions_heading_streaming_integration,nykäistä KANAVA,TWITCH CHANNEL,,,,
menuoptions_heading_streaming_integration_config,CONFIG,CONFIG,,,,
menuoptions_heading_streaming_integration_mods,Modding,MODDING,,,,
menuoptions_heading_streaming_enabled_events,ENABLED TAPAHTUMAT,ENABLED EVENTS,,,,
menuoptions_format_seconds,$0 s,$0 s,,,,
menuoptions_format_megabytes,"$0 Mt,",$0 MB,,,,
menuoptions_heading_online,ONLINE,ONLINE,,,,
menuoptions_heading_userinterface_mouse,HIIRI,MOUSE,,,,
menuoptions_heading_controls,Näppäimistö / hiiri,KEYBOARD/MOUSE,,,,
menuoptions_display_number,Näyttö numero: $0,Display number: $0,,,,
menuoptions_online_features,Verkko-ominaisuuksia: $0,Online features: $0,,,,
menuoptions_online_features_hint,Sammua estääkseen pelin yhteyden Nolla Gamesin palvelimiin. \nTämä voi estää joitakin toimintoja toimimasta.,Turn off to prevent the game from connecting to Nolla Games' servers.\nThis may prevent some features from working.,,,,
menuoptions_capturemouseinsidewindow,Lukitse hiiri ikkunan sisäpuolelta: $0,Lock mouse inside the window: $0,,,,
menuoptions_pause_the_game_when_unfocused,Keskeyttää pelin kun epätarkan: $0,Pause the game when unfocused: $0,,,,
menuoptions_ui_snappy_hover_boxes,Ei Hover laatikko animaatioita: $0,No hover box animations: $0,,,,
menuoptions_dithering,Anti värijuovien (kiertelevät): $0,Anti color banding (dithering): $0,,,,
menuoptions_configuregamepad,Määritä Gamepadilla,Configure gamepad controls,,,,
menuoptions_gamepad_analog_flying,Peliohjain analoginen Flying,Gamepad analog flying,,,,
menuoptions_ui_allow_shooting_while_inventory_open,Salli ampumisen sauvat kun inventaario on avoinna: $0,Allow firing of wands while inventory is open: $0,,,,
menuoptions_gamepad_throwsprayscheme,Uusi peliohjain heittää / spray järjestelmä: $0,New gamepad throw/spray scheme: $0,,,,
menuoldsavegame_text,Tallentaa pelin kanssa vanha versio havaittiin. \nHaluatko jatkaa sitä? (Outoja asioita voi tapahtua.),A save game with old version was detected.\nWould you like to continue it? (Weird things may occur.),,,,
menuoldsavegame_text_update9,Tyhjät palasina saattaa näkyä maailmassa lastauksen jälkeen. \nHeed varoitustani - tämä voi viha jumalten! \nHaluatko jatkaa?,Empty chunks may appear in the world after loading.\nHeed my warning - this may anger the Gods!\nWould you like to continue?,,,,
menu_secretmode,Salaus,Secret Mode,,,,
menu_selectworld,Valitse maailma,Select world,,,,
menu_playtime,$0h $1 minuutti,$0h $1 min,,,,
menu_startnewworld,Aloita uusi maailma,Start new world,,,,
menu_worldselect_deleteareyousure,"Oletko varma, että haluat poistaa maailman paikassa $0? \nTämä ei voi kumota.",Are you sure you want to delete the world in slot $0?\nThis cannot be undone.,,,,
menu_worldselect_deleteareyousure_playing,"Oletko varma, että haluat poistaa maailmaa olet soivan? \nTämä ei voi kumota.",Are you sure you want to delete the world you're currently playing?\nThis cannot be undone.,,,,
menu_worldselect_slot,Maailman $0,World $0,,,,
menu_worldselect_slot_playing,Maailman $0 - PELAAMINEN,World $0 – PLAYING,,,,
menu_switchthrowandspray,Olemme muuttaneet oletusarvot muutamia asetuksia: \ typpilannoitekiloa sidokset Heitä ja Spray on vaihdettu noin. \n-Inventory on suljettava taikoja. \nHaluatko jotta uudet oletusasetukset? Näitä voidaan muuttaa Asetukset-valikosta.,We've changed the default values of a few settings:\n-Input bindings for Throw and Spray have been swapped around.\n-Inventory needs to be closed to cast spells.\nWould you like to enable the new defaults? These can be changed in the Options menu.,,,,
menu_newgame_modschangedrestart,Peli käynnistyy vuoksi mod muutoksista.,The game will restart due to mod changes.,,,,
menu_progress_new,Progress ($0 Uusia),Progress ($0 new),,,,
menu_streamermode,Serpentiini tilassa: $0,Streamer mode: $0,,,,
menu_streaming_description,Anna virta katsojat vuorovaikutuksessa pelin kautta Twitch chat.,Let stream viewers interact with your game through the Twitch chat.,,,,
menu_streaming_description_details,"Pikaviestejä ”1”, ”2”, ”3” ja ”4” lasketaan ääniksi kohti \nvarious tapahtumia valitaan satunnaisesti allas.","Chat messages “1”, “2”, “3” and “4” will be counted as votes towards\nvarious events that are selected from a random pool.",,,,
menu_streaming_connect,Kytkeä,Connect,,,,
menu_streaming_disconnect,Katkaista,Disconnect,,,,
menu_streaming_connect_twitch,Yhdistä nykiä tilille,Connect to Twitch account,,,,
menu_streaming_status_connecting,- Yhdistetään ...,- CONNECTING...,,,,
menu_streaming_status_connected,- connected,- CONNECTED,,,,
menu_streaming_status_failed_unknown,- YHTEYS EPÄONNISTUI,- CONNECTION FAILED,,,,
menu_streaming_status_failed_serverconnection,- ei löytänyt SERVER,- COULDN'T FIND SERVER,,,,
menu_streaming_status_failed_timeout,- TIMEOUT - NO tällainen kanava?,- TIMEOUT - NO SUCH CHANNEL?,,,,
menu_streaming_connected,Liitetty Twitch tilille: $0,Connected to Twitch account: $0,,,,
menu_streaming_connect_failed,Nykiä tunnistus epäonnistui,Twitch authentication failed,,,,
menu_streaming_option,Streaming integraatio: $0,Streaming integration: $0,,,,
menu_streaming_channelname,Kanavan nimi:,Channel name:,,,,
menu_streaming_voting,Chat äänet: $0,Chat votes: $0,,,,
menu_streaming_voting_hint,"Salli stream katsojien äänestyksen tapahtumia, jotka tapahtuvat pelin.",Allow stream viewers to vote on events that take place in the game.,,,,
menu_streaming_allowusernames,Näyttö käyttäjätunnuksia,Display user names,,,,
menu_streaming_allowusernames_hint,Salli tapahtumia näyttö chat käyttäjänimet,Allow events that display chat user names,,,,
menu_streaming_timebetweenvotes,Välinen aika ääntä,Time between votes,,,,
menu_streaming_timebetweenvotes_hint,#VALUE!,,,,,
menu_streaming_timevoting,Äänestykset,Voting time,,,,
menu_streaming_timevoting_hint,Kesto yksi ääni,The duration of a single vote,,,,
menu_streaming_playvotesound,Toista ääni uusien äänestys: $0,Play sound on new vote: $0,,,,
menu_streaming_distribution,Äänestä tapahtuma jakelu,Vote event distribution,,,,
